"method"	"seconds"	"taxa"	"nqs"	"num_gt"	"mem_pk"	"filename"	"dataset"	"num_genes"	"gt_type"	"NRF"
"A-pro"	4.008	"11"	0.802515151515152	1798	1188	"model.11taxon/estimated_100genes_strongILS/R1"	"model.11taxon"	100	"estimated"	0.25
"A-pro"	4.345	"11"	0.805969696969697	1798	1194	"model.11taxon/estimated_100genes_strongILS/R10"	"model.11taxon"	100	"estimated"	0.125
"A-pro"	4.168	"11"	0.811545454545455	1798	1194	"model.11taxon/estimated_100genes_strongILS/R11"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.135	"11"	0.814212121212121	1798	1194	"model.11taxon/estimated_100genes_strongILS/R12"	"model.11taxon"	100	"estimated"	0.125
"A-pro"	3.971	"11"	0.811848484848485	1798	1194	"model.11taxon/estimated_100genes_strongILS/R13"	"model.11taxon"	100	"estimated"	0.125
"A-pro"	4.445	"11"	0.802242424242424	1798	1194	"model.11taxon/estimated_100genes_strongILS/R14"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.111	"11"	0.785393939393939	1798	1194	"model.11taxon/estimated_100genes_strongILS/R15"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.398	"11"	0.795969696969697	1798	1194	"model.11taxon/estimated_100genes_strongILS/R16"	"model.11taxon"	100	"estimated"	0.125
"A-pro"	4.154	"11"	0.811666666666667	1798	1194	"model.11taxon/estimated_100genes_strongILS/R17"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.271	"11"	0.805787878787879	1798	1194	"model.11taxon/estimated_100genes_strongILS/R18"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.252	"11"	0.798121212121212	1798	1194	"model.11taxon/estimated_100genes_strongILS/R19"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.094	"11"	0.809939393939394	1798	1188	"model.11taxon/estimated_100genes_strongILS/R2"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.093	"11"	0.808606060606061	1798	1194	"model.11taxon/estimated_100genes_strongILS/R20"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.511	"11"	0.816	1798	1188	"model.11taxon/estimated_100genes_strongILS/R3"	"model.11taxon"	100	"estimated"	0
"A-pro"	3.924	"11"	0.806575757575758	1798	1188	"model.11taxon/estimated_100genes_strongILS/R4"	"model.11taxon"	100	"estimated"	0.125
"A-pro"	4.137	"11"	0.825727272727273	1798	1188	"model.11taxon/estimated_100genes_strongILS/R5"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.295	"11"	0.793818181818182	1798	1188	"model.11taxon/estimated_100genes_strongILS/R6"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.073	"11"	0.817545454545455	1798	1188	"model.11taxon/estimated_100genes_strongILS/R7"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.057	"11"	0.832575757575758	1798	1188	"model.11taxon/estimated_100genes_strongILS/R8"	"model.11taxon"	100	"estimated"	0
"A-pro"	4.026	"11"	0.829030303030303	1798	1188	"model.11taxon/estimated_100genes_strongILS/R9"	"model.11taxon"	100	"estimated"	0
"A-pro"	2.073	"11"	0.851919191919192	270	1182	"model.11taxon/estimated_15genes_strongILS/R1"	"model.11taxon"	15	"estimated"	0.125
"A-pro"	2.092	"11"	0.827070707070707	270	1188	"model.11taxon/estimated_15genes_strongILS/R10"	"model.11taxon"	15	"estimated"	0.25
"A-pro"	1.987	"11"	0.805858585858586	270	1188	"model.11taxon/estimated_15genes_strongILS/R11"	"model.11taxon"	15	"estimated"	0.125
"A-pro"	2.033	"11"	0.837979797979798	270	1188	"model.11taxon/estimated_15genes_strongILS/R12"	"model.11taxon"	15	"estimated"	0.125
"A-pro"	1.974	"11"	0.842020202020202	270	1188	"model.11taxon/estimated_15genes_strongILS/R13"	"model.11taxon"	15	"estimated"	0.125
"A-pro"	2.055	"11"	0.82969696969697	270	1188	"model.11taxon/estimated_15genes_strongILS/R14"	"model.11taxon"	15	"estimated"	0.125
"A-pro"	2.256	"11"	0.817575757575758	270	1188	"model.11taxon/estimated_15genes_strongILS/R15"	"model.11taxon"	15	"estimated"	0.25
"A-pro"	2.125	"11"	0.837979797979798	270	1188	"model.11taxon/estimated_15genes_strongILS/R16"	"model.11taxon"	15	"estimated"	0
"A-pro"	2.127	"11"	0.801010101010101	270	1188	"model.11taxon/estimated_15genes_strongILS/R17"	"model.11taxon"	15	"estimated"	0.125
"A-pro"	2.159	"11"	0.797575757575758	270	1188	"model.11taxon/estimated_15genes_strongILS/R18"	"model.11taxon"	15	"estimated"	0.25
"A-pro"	2.124	"11"	0.806666666666667	270	1188	"model.11taxon/estimated_15genes_strongILS/R19"	"model.11taxon"	15	"estimated"	0.125
"A-pro"	2.237	"11"	0.800808080808081	270	1182	"model.11taxon/estimated_15genes_strongILS/R2"	"model.11taxon"	15	"estimated"	0.125
"A-pro"	2.074	"11"	0.812525252525253	270	1188	"model.11taxon/estimated_15genes_strongILS/R20"	"model.11taxon"	15	"estimated"	0.375
"A-pro"	2.241	"11"	0.836969696969697	270	1182	"model.11taxon/estimated_15genes_strongILS/R3"	"model.11taxon"	15	"estimated"	0
"A-pro"	1.992	"11"	0.817373737373737	270	1182	"model.11taxon/estimated_15genes_strongILS/R4"	"model.11taxon"	15	"estimated"	0
"A-pro"	2.215	"11"	0.797777777777778	270	1182	"model.11taxon/estimated_15genes_strongILS/R5"	"model.11taxon"	15	"estimated"	0
"A-pro"	2.294	"11"	0.834747474747475	270	1182	"model.11taxon/estimated_15genes_strongILS/R6"	"model.11taxon"	15	"estimated"	0
"A-pro"	2.15	"11"	0.824040404040404	270	1182	"model.11taxon/estimated_15genes_strongILS/R7"	"model.11taxon"	15	"estimated"	0.25
"A-pro"	2.15	"11"	0.815353535353535	270	1182	"model.11taxon/estimated_15genes_strongILS/R8"	"model.11taxon"	15	"estimated"	0.125
"A-pro"	2.273	"11"	0.842424242424242	270	1182	"model.11taxon/estimated_15genes_strongILS/R9"	"model.11taxon"	15	"estimated"	0.125
"A-pro"	2.358	"11"	0.812484848484848	450	1182	"model.11taxon/estimated_25genes_strongILS/R1"	"model.11taxon"	25	"estimated"	0
"A-pro"	2.323	"11"	0.826787878787879	450	1188	"model.11taxon/estimated_25genes_strongILS/R10"	"model.11taxon"	25	"estimated"	0.25
"A-pro"	2.603	"11"	0.796363636363636	450	1188	"model.11taxon/estimated_25genes_strongILS/R11"	"model.11taxon"	25	"estimated"	0.125
"A-pro"	2.429	"11"	0.810181818181818	450	1188	"model.11taxon/estimated_25genes_strongILS/R12"	"model.11taxon"	25	"estimated"	0.25
"A-pro"	2.302	"11"	0.833454545454545	450	1188	"model.11taxon/estimated_25genes_strongILS/R13"	"model.11taxon"	25	"estimated"	0.125
"A-pro"	2.473	"11"	0.785939393939394	450	1188	"model.11taxon/estimated_25genes_strongILS/R14"	"model.11taxon"	25	"estimated"	0.125
"A-pro"	2.302	"11"	0.828242424242424	450	1188	"model.11taxon/estimated_25genes_strongILS/R15"	"model.11taxon"	25	"estimated"	0
"A-pro"	2.368	"11"	0.796727272727273	450	1188	"model.11taxon/estimated_25genes_strongILS/R16"	"model.11taxon"	25	"estimated"	0.25
"A-pro"	2.563	"11"	0.822545454545455	450	1188	"model.11taxon/estimated_25genes_strongILS/R17"	"model.11taxon"	25	"estimated"	0.125
"A-pro"	2.427	"11"	0.800606060606061	450	1188	"model.11taxon/estimated_25genes_strongILS/R18"	"model.11taxon"	25	"estimated"	0.125
